Product Spec Sheet,,,,,,,,,,,
Product Line,Brand,Short Tagline,"Grade Range(s)
(comma-separated)","Goals
(comma-separated)","Priority Signals
(comma-separated)","Class Size(s)
(comma-separated)",Package Name,Package Price,Package Students,Package Link,SKU
Strawbees,Strawbees,"The ultimate hands-on learning toolbox, designed to inspire an entire classroom of young creators. With over 4,000 pieces, this kit provides everything students need to collaborate, experiment, and engineer together.","K-2, 3-5, 6-8",engineering,"screen_free, open_ended, beginner, scalable, hands_on","small, medium, large, district",STEAM Classroom Kit,$799,30 students,https://store.crexo.com/collections/strawbees/products/strawbees-steam-classroom-kit,80410006
Strawbees Robotics,Strawbees,"Bundle of the STEAM Starter Kit + Robotic Inventions for micro:bit. The perfect entry point into hands-on STEM and creative learning, whether in the classroom or at home.","3-5, 6-8","coding, engineering, computer science","coding_focus, open_ended, curriculum, beginner, hands_on","small, medium, large, district",Robotics Starter Bundle,$129,2 students,https://store.crexo.com/collections/strawbees/products/strawbees-steam-starter-robotics-bundle,80410002
Strawbees Robotics,Strawbees,Build and code robots that move! The Strawbees Robotic Inventions Project Pack integrates Strawbees construction with the micro:bit.,"3-5, 6-8","coding, engineering, computer science","coding_focus, open_ended, curriculum, beginner, hands_on","small, medium, large, district",Project Pack,$59,2 students,https://store.crexo.com/collections/strawbees/products/strawbees-robotic-inventions-for-micro-bit-project-pack,80410010
Strawbees Robotics,Strawbees,STEAM Classroom Kit + Robotic Inventions for micro:bit combine in this whole classroom solution. Transform your classroom into a hub of creativity and innovation!,"3-5, 6-8","coding, engineering, computer science","coding_focus, open_ended, curriculum, beginner, hands_on","small, medium, large, district",Classroom Solution,"$2,387",30 students,https://store.crexo.com/collections/strawbees/products/strawbees-bundle-steam-starter-robotics-copy,80410004
DataSnap Impact,DataSnap,"Reinvent the egg drop with motion sensors and real data analysis. The DataSnap Impact Classroom Solution offers a clean, repeatable way to explore impact forces and engineering design. Includes DataSnap Impact Curricula, each offering 6-12 hours of instructional content and includes presentation slides, student activities, and assessment tools. The curricula are aligned to NGSS, ISTE, and ITEEA standards.","6-8, 9-12","data, engineering","real_data, curriculum, open_ended","medium, large, district",Classroom Solution,"$1,999",Serves up to 90 (30 groups of 3),https://store.crexo.com/collections/datasnap/products/datasnap-impact-classroom-solution,80211004
DataSnap Impact,DataSnap,"Reinvent the egg drop with motion sensors and real data analysis. The DataSnap Impact offers a clean, repeatable way to explore impact forces and engineering design. Includes DataSnap Impact Curricula, each offering 6-12 hours of instructional content and includes presentation slides, student activities, and assessment tools. The curricula are aligned to NGSS, ISTE, and ITEEA standards.","6-8, 9-12","data, engineering","real_data, curriculum, open_ended","medium, large, district",Starter Kit,$899,Serves up to 15 (5 groups of 3),https://store.crexo.com/collections/datasnap/products/datasnap-impact-starter-pack,80211001
DataSnap Projectiles,DataSnap,"Catapult-powered data analysis - velocity, acceleration, predictive modeling. Empower students to explore physics, engineering, and data science with the DataSnap Projectile- a classroom-scaled, hands-on solution designed to teach motion, velocity, and acceleration through projectile launches. Includes Curricula, each offering 6-12 hours of instructional content and include presentation slides, student activities, and assessment tools. The curricula are aligned to NGSS, ISTE, and ITEEA standards. The Advanced Curriculum integrates algebraic mathematics to meet higher level academic standards. ","6-8, 9-12",data,"real_data, curriculum","medium, large, district",Classroom Solution,"$2,999",Serves up to 32 students (8 groups of 4),https://store.crexo.com/collections/datasnap/products/datasnap-projectile-classroom-solution,80211005
DataSnap Projectiles,DataSnap,"Catapult-powered data analysis - velocity, acceleration, predictive modeling. Empower students to explore physics, engineering, and data science with the DataSnap Projectile- a hands-on system designed to teach motion, velocity, and acceleration through projectile launches. Includes Curricula, each offering 6-12 hours of instructional content and include presentation slides, student activities, and assessment tools. The curricula are aligned to NGSS, ISTE, and ITEEA standards. The Advanced Curriculum integrates algebraic mathematics to meet higher level academic standards. ","6-8, 9-12",data,"real_data, curriculum","medium, large, district",Starter Pack,"$1,099",Serves up to 8 students (2 groups of 4),https://store.crexo.com/collections/datasnap/products/projectiles-starter-pack,80211002
DataSnap Air Racer,DataSnap,"Reimagine classroom engineering with the DataSnap Air Racer - a hands-on, air-powered alternative to traditional CO₂ car kits. This classroom-scaled lab replaces single-use canisters with a reusable, safe, and engaging system that brings physics and engineering concepts to life. Students build their racers using snap-together components and simple tools, then test and refine their designs through real-time data collection. With included NGSS, ISTE, and ITEEA-aligned curriculum, learners explore velocity, acceleration, and force.","6-8, 9-12","data, engineering","real_data, open_ended, curriculum","medium, large, district",Classroom Solution,"$3,499",Serves up to 32 students (8 groups of 4),https://store.crexo.com/collections/datasnap/products/datasnap-air-racer-classroom-solution,80211006
DataSnap Air Racer,DataSnap,"Reimagine classroom engineering with the DataSnap Air Racer - a hands-on, air-powered alternative to traditional CO₂ car kits. This lab replaces single-use canisters with a reusable, safe, and engaging system that brings physics and engineering concepts to life. Students build their racers using snap-together components and simple tools, then test and refine their designs through real-time data collection. With included NGSS, ISTE, and ITEEA-aligned curriculum, learners explore velocity, acceleration, and force.","6-8, 9-12","data, engineering","real_data, open_ended, curriculum","medium, large, district",Starter Kit,"$1,299",Serves up to 8 students (2 groups of 4),https://store.crexo.com/collections/datasnap/products/datasnap-air-racer-starter-pack,80211003
Electric Motors Catalyst,Tinkering Labs,Spark innovation with this screen-free engineering kit!,3-5,engineering,"screen_free, open_ended, beginner, hands_on","small, medium, large, district",Catalyst Kit,$70,1-2 students,https://store.crexo.com/collections/tinkering-labs/products/catalyst-kit,80310002
Electric Motors Catalyst,Tinkering Labs,Expand your build options with the Catalyst Booster Bundle: a super-charged version of the original Catalyst Kit.,3-5,engineering,"screen_free, open_ended, beginner, hands_on","small, medium, large, district",Booster Bundle,$145,1-2 students,https://store.crexo.com/collections/tinkering-labs/products/catalyst-booster,80310914
Electric Motors Catalyst,Tinkering Labs,"Empower a classroom of 30 students, working in pairs, to tackle STEM challenges with this classroom set of Catalyst Kits. Well-structured lessons and all required supplies allow teachers to hit the ground running. ",3-5,engineering,"screen_free, open_ended, beginner, hands_on","small, medium, large, district",Class Pack + Cabinet,$999,30 students,https://store.crexo.com/collections/tinkering-labs/products/catalyst-class-pack,80310009
Swift,Swift,"Transform your makerspace or STEM lab into a hub of hands-on engineering with the Swift Saw. This innovative cardboard cutter was designed for precision and safety. Ideally paired with Swift's cardboard construction kits, the Swift Saw encourages children to move beyond simple scissors and tape to bring their imagination to life. ",K-12,"building, engineering, creating","screen_free, open_ended, beginner, hands_on","small, medium, large, district",Swift Saw,$249,Serves up to 8 students working in groups,https://store.crexo.com/collections/swift/products/swift-saw,80270003
Swift,Swift,"This all-in-one solution equips an entire classroom with the tools students need to build confidently with cardboard,while saving teachers time, setup, and frustration. With 8 Swift Student Kits, 4 SWIFT Saws, a dedicated equipment cart, and 3,000+ total pieces, the Swift Classroom Solution ensures every student has access to the right tools and connectors to bring their ideas to life.",K-12,"building, engineering, creating","screen_free, open_ended, beginner, hands_on","small, medium, large, district",Classroom Solution,"$4,999",Serves up to 30 students,https://store.crexo.com/collections/swift/products/swift-classroom-solution,80270007
Swift,Swift,"The classroom-ready evolution of cardboard construction engineered specifically for collaborative learning, repeated use, and big ideas. With 400+ pieces and included learning materials, this expanded toolkit is designed to support 2–4 students working together, making it ideal for STEM classrooms, makerspaces, and engineering labs. ",K-12,"building, engineering, creating","screen_free, open_ended, beginner, hands_on","small, medium, large, district",Student Kit,$199,2-4 Students,https://store.crexo.com/collections/swift/products/swift-student-kit,80270005
